,processor,amount,original_currency,target_currency,fx,transaction_status,transaction_start_date,transaction_end_date,duration,transaction_profit,pyr_id,pye_id,ppid,country,payee_satisfaction,payor_satisfaction,overall_satisfaction
0,3,1571.88,978,484,1,1,2019-03-03T00:00:00Z,2019-03-10T12:00:00Z,7,4.7156400000000005,288891159362,280284447297,284579414593,276,0,1,1
1,2,4575.83,840,410,1,0,2019-03-02T19:00:00Z,2019-03-11T12:00:00Z,9,41.7583,284596257603,280267735873,284579414593,276,0,0,0
2,2,4026.83,986,986,0,1,2019-03-02T19:00:00Z,2019-03-10T12:00:00Z,8,-34.71464,288874382145,280267735619,280301355842,410,1,1,1
3,1,2453.7,410,986,1,0,2019-03-03T12:00:00Z,2019-03-14T12:00:00Z,11,41.2129,284579414850,288874512963,280301290307,840,0,1,1
4,1,910.22,156,840,1,1,2019-03-02T19:00:00Z,2019-04-10T12:00:00Z,39,17.52484,280301355587,288874447427,288874382146,250,0,1,0
5,1,1061.94,356,356,0,1,2019-03-03T00:00:00Z,2019-03-12T12:00:00Z,9,-13.1194,284596192067,280267801410,280301224514,250,1,1,1
6,3,4103.58,484,986,1,1,2019-03-03T00:00:00Z,2019-03-14T12:00:00Z,11,12.310740000000003,288891289923,284596191555,280301224514,276,0,1,1
7,1,875.07,356,978,1,1,2019-03-06T01:00:00Z,2019-04-14T12:00:00Z,39,8.50084,284562768195,280284447297,288891224642,276,0,1,1
8,3,2232.08,356,840,1,0,2019-03-06T01:00:00Z,2019-03-15T12:00:00Z,9,-29.017039999999998,280284578369,280284447042,284579480130,156,1,1,0
9,1,1325.53,356,356,0,1,2019-03-06T01:00:00Z,2019-03-14T12:00:00Z,8,-14.10424,280267670338,284596191553,280267801410,410,1,1,1
10,2,1729.01,986,410,1,1,2019-03-03T00:00:00Z,2019-03-10T12:00:00Z,7,11.290099999999999,280284513089,280284578370,288891290434,156,1,1,1
11,2,3210.07,356,156,1,1,2019-03-06T01:00:00Z,2019-04-15T12:00:00Z,40,5.0251750000000115,284579414850,288874381890,284596257602,484,0,0,1
