,processor,amount,original_currency,target_currency,fx,transaction_status,transaction_cost,transaction_start_date,transaction_end_date,duration,transaction_revenue,pyr_id,pye_id,ppid,country,payee_satisfaction,payor_satisfaction,overall_satisfaction
0,2,3503.01,156,840,1,0,27.74,2019-03-02T19:00:00Z,2019-03-13T12:00:00Z,11,1,280267800897,284579480130,280301355842,484,0,1,1
1,3,2144.7,840,156,1,1,65.47,2019-03-07T15:00:00Z,2019-03-15T12:00:00Z,8,1,288874447426,284562637121,288857604929,410,1,0,1
2,2,4946.55,356,356,0,0,18.02,2019-03-03T12:00:00Z,2019-03-12T12:00:00Z,9,1,288891224899,284579480130,284596322625,276,1,1,1
3,1,4012.28,840,410,1,1,25.36,2019-03-06T01:00:00Z,2019-03-14T12:00:00Z,8,1,280267800897,288891224641,288874447426,356,1,0,1
4,1,3535.98,978,840,1,1,74.08,2019-03-03T00:00:00Z,2019-04-15T12:00:00Z,43,1,280284447555,280267735873,280267735875,276,0,0,0
5,1,703.47,410,840,1,0,52.35,2019-03-06T01:00:00Z,2019-03-14T12:00:00Z,8,1,284562703171,288891290433,280267735875,840,0,0,0
6,1,2668.88,840,840,0,1,81.75,2019-03-03T00:00:00Z,2019-03-10T12:00:00Z,7,0,280284578371,280267735361,288874447426,156,0,0,0
7,3,3421.3,978,484,1,1,20.23,2019-03-02T19:00:00Z,2019-04-15T12:00:00Z,44,1,284562637633,288874447681,280284512578,484,1,1,0
8,3,853.74,986,484,1,1,83.07,2019-03-03T00:00:00Z,2019-03-14T12:00:00Z,11,1,284562702657,284562702657,280301290051,76,0,1,0
9,2,1222.55,484,978,1,0,10.94,2019-03-02T19:00:00Z,2019-04-12T12:00:00Z,41,1,280301355330,288874512962,284596257603,410,0,1,1
10,1,1385.75,840,156,1,1,87.55,2019-03-06T01:00:00Z,2019-04-12T12:00:00Z,37,1,284596257601,280301224771,280284447298,356,0,1,1
11,1,3044.46,840,156,1,1,12.72,2019-03-07T15:00:00Z,2019-04-15T12:00:00Z,39,1,280267670081,284596257091,288857604674,410,1,1,1
12,1,2784.75,356,978,1,1,82.05,2019-03-03T12:00:00Z,2019-03-11T12:00:00Z,8,1,284562637633,284562768450,284579545411,276,0,0,1
13,2,1715.54,156,840,1,1,82.16,2019-03-02T19:00:00Z,2019-04-10T12:00:00Z,39,0,288874447169,280284513090,288891159105,840,0,1,0
14,2,1670.54,840,156,1,1,88.95,2019-03-02T19:00:00Z,2019-03-14T12:00:00Z,12,1,284579545665,280267801410,280301290051,410,0,1,1
